Start - 2018-08-08
14:39:40: 145: ** ERROR ** : RecordType: AAAA | RequestId: 37923 | SrcIP: 176.10.99.200  |  SrcPort: 38845  |  Domain: ns.dnstestsuite.space
14:39:40: 146: ** ERROR ** : RecordType: AAAA | RequestId: 51841 | SrcIP: 176.10.99.200  |  SrcPort: 57151  |  Domain: ns2.dnstestsuite.space
14:39:41: 147: ** ERROR ** : RecordType: AAAA | RequestId: 16672 | SrcIP: 176.10.99.200  |  SrcPort: 47754  |  Domain: ns.dnstestsuite.space
14:39:41: 148: ** ERROR ** : RecordType: AAAA | RequestId: 42341 | SrcIP: 176.10.99.200  |  SrcPort: 54708  |  Domain: ns2.dnstestsuite.space
14:39:59: 149: RecordType: A | RequestId: 65254 | SrcIP: 176.10.99.200  |  SrcPort: 14922  |  Domain: ns2.dnstestsuite.space
14:39:59: 150: RecordType: A | RequestId: 3486 | SrcIP: 176.10.99.200  |  SrcPort: 47421  |  Domain: ns.dnstestsuite.space
14:39:59: 151: ** ERROR ** : RecordType: AAAA | RequestId: 20242 | SrcIP: 176.10.99.200  |  SrcPort: 39197  |  Domain: ns2.dnstestsuite.space
14:40:00: 152: ** ERROR ** : RecordType: AAAA | RequestId: 54571 | SrcIP: 176.10.99.200  |  SrcPort: 63799  |  Domain: ns2.dnstestsuite.space
14:40:00: 153: ** ERROR ** : RecordType: AAAA | RequestId: 46096 | SrcIP: 176.10.99.200  |  SrcPort: 62650  |  Domain: ns2.dnstestsuite.space
14:40:00: 154: ** ERROR ** : RecordType: AAAA | RequestId: 61537 | SrcIP: 176.10.99.200  |  SrcPort: 20727  |  Domain: ns2.dnstestsuite.space
14:40:00: 155: ** ERROR ** : RecordType: AAAA | RequestId: 59472 | SrcIP: 176.10.99.200  |  SrcPort: 9442  |  Domain: ns2.dnstestsuite.space
14:40:00: 156: ** ERROR ** : RecordType: AAAA | RequestId: 5935 | SrcIP: 176.10.99.200  |  SrcPort: 32668  |  Domain: ns2.dnstestsuite.space
14:40:00: 157: ** ERROR ** : RecordType: AAAA | RequestId: 22390 | SrcIP: 176.10.99.200  |  SrcPort: 47626  |  Domain: ns2.dnstestsuite.space
14:40:00: 158: RecordType: A | RequestId: 26925 | SrcIP: 176.10.99.200  |  SrcPort: 34799  |  Domain: 79_176-10-99-206.dnsTeSTSuItE.sPacE
14:40:20: 159: RecordType: A | RequestId: 21970 | SrcIP: 176.10.99.200  |  SrcPort: 10997  |  Domain: 80_176-10-99-206.dnStestSUITE.SPACE
14:40:20: 160: RecordType: A | RequestId: 18708 | SrcIP: 176.10.99.200  |  SrcPort: 32682  |  Domain: ns.dnStestSUITE.SPACE
14:40:20: 161: RecordType: A | RequestId: 26988 | SrcIP: 176.10.99.200  |  SrcPort: 23714  |  Domain: ns2.dnStestSUITE.SPACE
14:40:20: 162: ** ERROR ** : RecordType: AAAA | RequestId: 46729 | SrcIP: 176.10.99.200  |  SrcPort: 25544  |  Domain: ns.dnStestSUITE.SPACE
14:40:20: 163: ** ERROR ** : RecordType: AAAA | RequestId: 44645 | SrcIP: 176.10.99.200  |  SrcPort: 41812  |  Domain: ns2.dnStestSUITE.SPACE
14:40:20: 164: ** ERROR ** : RecordType: AAAA | RequestId: 15889 | SrcIP: 176.10.99.200  |  SrcPort: 35088  |  Domain: ns.dnStestSUITE.SPACE
14:40:20: 165: ** ERROR ** : RecordType: AAAA | RequestId: 47825 | SrcIP: 176.10.99.200  |  SrcPort: 58010  |  Domain: ns2.dnStestSUITE.SPACE
14:40:20: 166: ** ERROR ** : RecordType: AAAA | RequestId: 40915 | SrcIP: 176.10.99.200  |  SrcPort: 37318  |  Domain: ns.dnStestSUITE.SPACE
14:40:20: 167: ** ERROR ** : RecordType: AAAA | RequestId: 40523 | SrcIP: 176.10.99.200  |  SrcPort: 11204  |  Domain: ns2.dnStestSUITE.SPACE
